Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
27.45,43.27,48.0,480.0,12844.0,20723.0,937.586,2.04,2.12,14.05,2.191,0.049,0
27.41,43.54,32.0,457.0,12857.0,20743.0,937.589,2.16,2.24,14.83,2.313,0.052,0
27.36,43.76,34.0,455.0,12857.0,20747.0,937.604,2.19,2.28,15.07,2.35,0.053,0
27.32,43.84,29.0,454.0,12858.0,20752.0,937.61,2.24,2.32,15.39,2.4,0.054,1
27.27,43.98,28.0,456.0,12860.0,20751.0,937.601,2.26,2.35,15.58,2.429,0.055,1
27.22,44.09,19.0,449.0,12862.0,20754.0,937.583,2.29,2.38,15.78,2.46,0.056,0
27.22,44.13,33.0,463.0,12860.0,20746.0,937.575,2.36,2.45,16.21,2.528,0.057,0
27.2,44.2,43.0,454.0,12854.0,20738.0,937.58,2.41,2.5,16.58,2.585,0.058,0
27.16,44.27,27.0,440.0,12861.0,20749.0,937.565,2.44,2.53,16.79,2.618,0.059,0
27.15,44.37,29.0,461.0,12861.0,20743.0,937.566,2.43,2.53,16.75,2.612,0.059,0
27.11,44.4,30.0,459.0,12853.0,20752.0,937.571,2.42,2.51,16.64,2.595,0.059,0
27.14,44.46,25.0,441.0,12862.0,20751.0,937.565,2.4,2.49,16.48,2.57,0.058,0
27.09,44.47,24.0,457.0,12864.0,20755.0,937.565,2.35,2.44,16.17,2.522,0.057,0
27.05,44.55,16.0,450.0,12863.0,20766.0,937.571,2.32,2.41,15.97,2.491,0.056,0
27.02,44.6,17.0,448.0,12858.0,20765.0,937.573,2.27,2.36,15.62,2.436,0.055,0
27.01,44.65,13.0,435.0,12870.0,20766.0,937.572,2.25,2.33,15.46,2.411,0.054,0
26.98,44.74,11.0,441.0,12867.0,20772.0,937.583,2.19,2.28,15.08,2.351,0.053,0
26.95,44.77,11.0,431.0,12868.0,20772.0,937.575,2.15,2.24,14.82,2.311,0.052,0
26.95,44.73,10.0,437.0,12868.0,20767.0,937.581,2.05,2.13,14.13,2.203,0.05,0
26.95,44.86,11.0,426.0,12864.0,20771.0,937.584,2.01,2.09,13.87,2.162,0.049,0
26.92,44.83,15.0,431.0,12861.0,20767.0,937.599,1.96,2.03,13.48,2.102,0.047,0
26.94,44.88,15.0,424.0,12870.0,20772.0,937.595,1.94,2.01,13.34,2.081,0.047,0
26.9,44.9,9.0,426.0,12868.0,20772.0,937.603,1.93,2.01,13.3,2.074,0.047,0
28.33,44.79,0.0,402.0,12878.0,20785.0,937.603,1.94,2.02,13.36,2.083,0.047,0
28.77,43.81,0.0,406.0,12879.0,20792.0,937.609,1.95,2.02,13.41,2.091,0.047,0
29.0,42.69,0.0,412.0,12874.0,20793.0,937.606,1.98,2.05,13.61,2.122,0.048,0
29.12,41.85,0.0,410.0,12873.0,20792.0,937.606,2.02,2.1,13.89,2.166,0.049,0
29.22,41.17,0.0,420.0,12876.0,20793.0,937.607,2.02,2.1,13.89,2.166,0.049,0
29.31,40.62,11.0,434.0,12863.0,20782.0,937.608,2.0,2.07,13.74,2.142,0.048,0
29.42,40.3,18.0,420.0,12868.0,20775.0,937.609,1.96,2.04,13.5,2.106,0.048,0
29.48,40.03,26.0,440.0,12863.0,20760.0,937.609,1.93,2.01,13.28,2.071,0.047,0
29.51,39.78,36.0,438.0,12861.0,20759.0,937.61,1.93,2.01,13.29,2.073,0.047,0
29.58,39.64,37.0,455.0,12867.0,20769.0,937.607,1.93,2.0,13.27,2.07,0.047,0
29.63,39.45,21.0,429.0,12863.0,20768.0,937.602,1.96,2.04,13.49,2.103,0.048,0
29.67,39.32,31.0,443.0,12867.0,20761.0,937.6,1.97,2.04,13.54,2.112,0.048,0
29.72,39.23,22.0,425.0,12868.0,20773.0,937.587,1.97,2.04,13.54,2.111,0.048,0
29.74,39.165000000000006,28.0,429.0,12863.0,20762.0,937.591,1.97,2.05,13.58,2.118,0.048,0
29.77,39.165000000000006,28.0,432.0,12863.0,20760.0,937.587,1.99,2.07,13.69,2.135,0.048,0
29.8,39.165000000000006,29.0,423.0,12868.0,20767.0,937.588,1.98,2.06,13.65,2.129,0.048,0
29.86,39.165000000000006,29.0,424.0,12865.0,20768.0,937.593,1.95,2.02,13.41,2.09,0.047,0
29.85,39.165000000000006,21.0,424.0,12867.0,20771.0,937.583,1.91,1.99,13.17,2.054,0.046,0
29.9,39.165000000000006,14.0,422.0,12869.0,20775.0,937.584,1.87,1.94,12.85,2.004,0.045,0
29.92,39.165000000000006,28.0,438.0,12861.0,20769.0,937.58,1.87,1.95,12.89,2.01,0.045,0
29.94,39.165000000000006,9.0,420.0,12871.0,20786.0,937.575,1.86,1.93,12.79,1.994,0.045,0
29.94,39.165000000000006,13.0,428.0,12863.0,20777.0,937.581,1.85,1.92,12.71,1.982,0.045,0
29.96,39.165000000000006,12.0,422.0,12865.0,20777.0,937.587,1.92,2.0,13.23,2.062,0.047,0
30.0,39.165000000000006,13.0,426.0,12871.0,20788.0,937.577,1.97,2.04,13.55,2.112,0.048,0
30.03,39.165000000000006,15.0,428.0,12863.0,20777.0,937.574,2.02,2.1,13.93,2.172,0.049,0
30.04,39.165000000000006,16.0,436.0,12860.0,20771.0,937.573,2.04,2.11,14.01,2.185,0.049,0
30.04,39.165000000000006,24.0,438.0,12860.0,20771.0,937.577,2.04,2.12,14.07,2.194,0.05,0
30.06,39.165000000000006,22.0,436.0,12858.0,20770.0,937.577,2.07,2.15,14.21,2.216,0.05,0
30.07,39.165000000000006,31.0,426.0,12862.0,20765.0,937.568,2.11,2.2,14.55,2.269,0.051,0
30.1,39.165000000000006,26.0,429.0,12860.0,20763.0,937.559,2.15,2.23,14.79,2.306,0.052,0
28.69,39.165000000000006,61.0,480.0,12837.0,20732.0,937.562,2.2,2.28,15.13,2.36,0.053,0
28.21,39.31,68.0,479.0,12834.0,20721.0,937.562,2.3,2.39,15.83,2.468,0.056,0
28.0,40.3,72.0,477.0,12839.0,20724.0,937.569,2.33,2.42,16.02,2.498,0.056,0
27.85,41.1,68.0,473.0,12841.0,20718.0,937.566,2.34,2.43,16.13,2.515,0.057,0
27.74,41.74,72.0,465.0,12839.0,20718.0,937.555,2.35,2.44,16.14,2.517,0.057,0
27.64,42.2,70.0,470.0,12847.0,20716.0,937.55,2.32,2.41,15.95,2.487,0.056,0
27.57,42.61,65.0,451.0,12849.0,20728.0,937.56,2.31,2.4,15.92,2.483,0.056,0
27.49,42.91,68.0,452.0,12857.0,20728.0,937.558,2.33,2.42,16.02,2.497,0.056,0
27.43,43.16,53.0,432.0,12857.0,20735.0,937.557,2.33,2.42,16.01,2.496,0.056,0
27.36,43.37,68.0,438.0,12854.0,20737.0,937.559,2.32,2.41,15.97,2.491,0.056,0
27.32,43.58,60.0,438.0,12860.0,20737.0,937.569,2.35,2.44,16.16,2.519,0.057,0
27.25,43.75,62.0,438.0,12853.0,20726.0,937.577,2.36,2.46,16.27,2.537,0.057,0
27.2,43.89,67.0,451.0,12852.0,20711.0,937.581,2.37,2.46,16.32,2.544,0.057,0
27.18,44.05,67.0,441.0,12855.0,20725.0,937.585,2.4,2.5,16.54,2.58,0.058,0
27.12,44.08,64.0,434.0,12855.0,20721.0,937.592,2.41,2.51,16.61,2.59,0.058,0
27.11,44.22,61.0,428.0,12856.0,20732.0,937.596,2.44,2.54,16.8,2.62,0.059,0
27.06,44.28,46.0,427.0,12859.0,20745.0,937.601,2.44,2.53,16.77,2.616,0.059,0
27.06,44.36,47.0,426.0,12860.0,20754.0,937.592,2.41,2.51,16.6,2.589,0.058,0
27.05,44.42,26.0,409.0,12865.0,20771.0,937.592,2.39,2.48,16.42,2.56,0.058,0
26.99,44.47,30.0,423.0,12864.0,20767.0,937.582,2.31,2.4,15.93,2.484,0.056,0
26.99,44.52,29.0,426.0,12854.0,20759.0,937.582,2.29,2.38,15.8,2.463,0.056,0
26.96,44.61,29.0,426.0,12864.0,20768.0,937.59,2.27,2.36,15.65,2.44,0.055,0
26.94,44.67,28.0,426.0,12853.0,20761.0,937.596,2.27,2.36,15.61,2.434,0.055,0
26.92,44.73,31.0,435.0,12861.0,20762.0,937.608,2.23,2.32,15.35,2.394,0.054,0
26.9,44.8,30.0,422.0,12857.0,20763.0,937.605,2.21,2.3,15.21,2.372,0.054,0
26.88,44.82,21.0,436.0,12857.0,20764.0,937.622,2.19,2.27,15.04,2.346,0.053,0
26.87,44.9,32.0,437.0,12850.0,20761.0,937.612,2.17,2.26,14.95,2.332,0.053,0
26.85,44.91,25.0,437.0,12858.0,20758.0,937.61,2.17,2.26,14.95,2.331,0.053,0
26.84,44.99,17.0,415.0,12863.0,20774.0,937.63,2.18,2.26,15.0,2.34,0.053,0
26.81,45.0,27.0,426.0,12853.0,20763.0,937.634,2.18,2.26,15.0,2.339,0.053,0
28.25,45.0,7.0,414.0,12870.0,20795.0,937.624,2.17,2.26,14.95,2.332,0.053,0
28.7,43.94,11.0,406.0,12869.0,20782.0,937.618,2.15,2.24,14.81,2.31,0.052,0
28.91,42.89,31.0,415.0,12871.0,20756.0,937.625,2.15,2.24,14.81,2.31,0.052,0
29.04,42.06,18.0,411.0,12869.0,20760.0,937.622,2.18,2.26,14.97,2.335,0.053,0
29.16,41.35,31.0,413.0,12864.0,20766.0,937.625,2.19,2.27,15.07,2.35,0.053,0
29.22,40.91,21.0,404.0,12863.0,20776.0,937.617,2.18,2.26,14.98,2.337,0.053,0
29.31,40.55,37.0,427.0,12858.0,20762.0,937.613,2.15,2.24,14.83,2.312,0.052,0
